번호,지역,표준편차,최저고도,최고고도,범위,최빈값
1,강동구,14.33804673,43,167,124,52
2,송파구,13.16344224,33,170,137,52
3,강남구,34.4754841,38,335,297,69
4,서초구,70.9243054,38,534,496,48
5,관악구,111.4339871,43,659,616,73
6,동작구,29.82363429,41,216,175,64
7,영등포구,9.408163292,12,158,146,48
8,금천구,59.56595793,38,430,392,59
9,구로구,21.64342356,42,182,140,62
10,강서구,16.07111286,10,174,164,47
11,양천구,17.39777737,35,166,131,59
12,마포구,20.28830404,38,151,113,48
13,서대문구,50.18972299,0,366,366,90
14,은평구,87.86953217,43,561,518,73
15,노원구,88.32164786,43,597,554,76
16,도봉구,131.1331117,43,758,715,74
17,강북구,139.1518341,43,807,764,82
18,성북구,106.2653077,43,720,677,74
19,중랑구,54.30095275,42,384,342,64
20,동대문구,13.7530939,52,178,126,62
21,광진구,50.48082063,28,375,347,52
22,성동구,21.66477911,32,220,188,50
23,용산구,38.2435688,29,314,285,48
24,중구,38.00363644,63,313,250,76
25,종로구,133.5459867,43,739,696,84
