번호,지역,표준편차,최저고도,최고고도,범위,최빈값
1,강동구,14.33804673,30,144,114,52
2,송파구,13.16344224,24,147,123,52
3,강남구,34.4754841,25,312,287,69
4,서초구,70.9243054,25,511,486,48
5,관악구,111.4339871,20,636,616,73
6,동작구,29.82363429,28,193,165,64
7,영등포구,9.408163292,3,135,132,48
8,금천구,59.56595793,25,407,382,59
9,구로구,21.64342356,29,159,130,62
10,강서구,16.07111286,1,151,150,47
11,양천구,17.39777737,22,143,121,59
12,마포구,20.28830404,25,128,103,48
13,서대문구,50.18972299,30,343,313,90
14,은평구,87.86953217,20,538,518,73
15,노원구,88.32164786,29,574,545,76
16,도봉구,131.1331117,30,735,705,74
17,강북구,139.1518341,30,784,754,82
18,성북구,106.2653077,28,697,669,74
19,중랑구,54.30095275,27,361,334,64
20,동대문구,13.7530939,32,155,123,62
21,광진구,50.48082063,19,352,333,52
22,성동구,21.66477911,23,197,174,50
23,용산구,38.2435688,20,291,271,48
24,중구,38.00363644,40,290,250,76
25,종로구,133.5459867,20,716,696,84
