ADM_SECT_C,SGG_NM,COL_ADM_SE,GID,SRTM_count,SRTM_sum,SRTM_median,SRTM_stdev,SRTM_min,SRTM_max,SRTM_majority
11740,강동구,11740,125,32083,985907,28,14.35555251,0,124,9
11710,송파구,11710,126,44244,1182115,24,13.17571837,-10,131,9
11680,강남구,11680,127,51670,2210104,34,34.4862468,-5,296,26
11650,서초구,11650,128,61298,4761457,51,70.98828413,-5,491,5
11620,관악구,11620,129,38648,5346756,100,111.5639687,0,616,30
11590,동작구,11590,130,21413,1074854,43,29.79519016,-2,172,21
11560,영등포구,11560,131,32057,531519,17,9.451750368,-29,115,5
11545,금천구,11545,132,17020,912848,31,59.37246852,-5,387,16
11530,구로구,11530,133,26259,849196,25,21.56357528,-1,139,19
11500,강서구,11500,134,54179,1045794,15,16.04978904,-33,131,4
11470,양천구,11470,135,22756,639848,23,17.44044983,-8,123,16
11440,마포구,11440,136,31183,750509,18,20.28451484,-5,108,5
11410,서대문구,11410,137,23125,1778613,61,50.10957461,12,313,47
11380,은평구,11380,138,38938,3752773,65,87.7329545,0,524,30
11350,노원구,11350,139,46528,4173370,49,88.29726324,0,554,33
11320,도봉구,11320,140,27061,3125887,53,131.1401305,0,715,35
11305,강북구,11305,141,30887,5084255,104,139.1562645,0,764,39
11290,성북구,11290,142,32182,3581946,72,106.2984127,0,676,33
11260,중랑구,11260,143,24226,1400819,38,54.19205266,-1,338,21
11230,동대문구,11230,144,18608,540644,25,13.75915032,9,133,19
11215,광진구,11215,145,22283,1013259,28,50.60414333,-10,341,9
11200,성동구,11200,146,21987,611912,20,21.7196454,-10,177,7
11170,용산구,11170,147,28667,1089247,25,38.32630511,-14,269,5
11140,중구,11140,148,13019,806381,50,38.09049889,20,271,41
11110,종로구,11110,149,31378,4892044,110,133.551963,0,691,39
