구청명,01월강수량,02월강수량,03월강수량,04월강수량,05월강수량,06월강수량,07월강수량,08월강수량,09월강수량,10월강수량,11월강수량,12월강수량
강남구,1.0,7.0,151.0,31.0,16.0,675.0,437.0,1005.0,378.0,161.0,114.0,13.0
강동구,1.0,3.0,98.0,27.0,10.0,455.0,280.0,634.0,280.0,116.0,85.0,8.0
강북구,1.0,0.0,61.0,11.0,3.0,229.0,165.0,245.0,95.0,92.0,55.0,7.0
강서구,0.0,3.0,123.0,20.0,6.0,372.0,169.0,494.0,179.0,120.0,100.0,34.0
관악구,0.0,3.0,94.0,20.0,9.0,376.0,290.0,644.0,223.0,108.0,72.0,15.0
광진구,2.0,1.0,39.0,13.0,4.0,228.0,153.0,309.0,119.0,59.0,41.0,5.0
구로구,0.0,1.0,40.0,7.0,7.0,408.0,207.0,635.0,204.0,114.0,85.0,16.0
금천구,0.0,5.0,95.0,19.0,8.0,370.0,241.0,639.0,206.0,117.0,80.0,31.0
노원구,0.0,3.0,133.0,17.0,6.0,491.0,317.0,526.0,179.0,171.0,104.0,8.0
도봉구,0.0,1.0,68.0,11.0,3.0,258.0,151.0,283.0,100.0,86.0,55.0,5.0
동대문구,44.0,3.0,116.0,28.0,6.0,449.0,317.0,622.0,193.0,141.0,86.0,34.0
동작구,2.0,4.0,107.0,22.0,8.0,373.0,239.0,510.0,214.0,125.0,81.0,15.0
마포구,1.0,2.0,106.0,18.0,7.0,372.0,182.0,493.0,208.0,119.0,102.0,12.0
서대문구,0.0,1.0,62.0,10.0,3.0,188.0,93.0,280.0,94.0,69.0,53.0,9.0
서초구,0.0,4.0,90.0,25.0,10.0,411.0,271.0,660.0,220.0,107.0,71.0,11.0
성동구,0.0,3.0,113.0,23.0,6.0,438.0,279.0,596.0,183.0,119.0,77.0,13.0
성북구,2.0,3.0,130.0,24.0,7.0,431.0,294.0,550.0,202.0,162.0,101.0,12.0
송파구,2.0,5.0,96.0,29.0,10.0,470.0,322.0,714.0,285.0,105.0,84.0,4.0
양천구,0.0,3.0,106.0,18.0,7.0,334.0,191.0,526.0,194.0,120.0,80.0,13.0
영등포구,0.0,2.0,102.0,17.0,7.0,333.0,194.0,569.0,193.0,113.0,88.0,14.0
용산구,1.0,3.0,97.0,21.0,7.0,372.0,222.0,576.0,200.0,117.0,72.0,11.0
은평구,0.0,3.0,187.0,33.0,8.0,634.0,292.0,817.0,271.0,245.0,150.0,17.0
종로구,1.0,2.0,130.0,22.0,5.0,334.0,343.0,599.0,200.0,149.0,101.0,13.0
중구,2.0,3.0,123.0,24.0,7.0,409.0,357.0,638.0,203.0,128.0,90.0,11.0
중랑구,0.0,3.0,98.0,15.0,6.0,437.0,308.0,557.0,206.0,140.0,84.0,8.0
