자치구별,암거,개거,관거,U형측구,횡단하수거,맨홀,빗물받이,보급률
종로구,"37,903","4,937","283,506","11,992","1,006","9,882","16,242",100
중구,"26,224","1,538","236,089","1,259",683,"8,173","14,998",100
용산구,"36,763","4,403","308,758","5,321",845,"9,788","17,779",100
성동구,"43,126",398,"244,546","1,636",617,"8,581","16,334",100
광진구,"41,900",153,"314,009",238,623,"10,208","25,193",100
동대문구,"50,043","1,902","341,287",408,"1,093","12,004","21,648",100
중랑구,"55,009","1,716","357,739",368,675,"12,418","19,870",100
성북구,"67,875","2,563","401,148","5,749",978,"14,485","23,025",100
강북구,"34,721",620,"299,073",564,"1,212","10,818","16,504",100
도봉구,"27,192",706,"268,012","1,120",796,"8,846","12,382",100
노원구,"56,981","1,393","342,495","1,333",762,"11,029","15,488",100
은평구,"43,487",410,"406,826",599,521,"13,320","22,951",100
서대문구,"27,962",407,"296,395","3,563","1,736","9,199","14,620",100
마포구,"44,114",216,"396,076","1,905",991,"12,322","24,000",100
양천구,"57,856","1,278","326,464","1,572",212,"9,743","22,683",100
강서구,"73,516","1,182","474,091",299,371,"13,145","24,043",100
구로구,"49,426","2,572","326,947","4,848",663,"10,530","14,278",100
금천구,"45,064","1,053","204,961",-,567,"6,530","15,607",100
영등포구,"50,630","2,331","412,710",15,183,"12,770","17,865",100
동작구,"28,396",462,"298,964",143,567,"9,996","17,635",100
관악구,"39,249",939,"368,542",496,743,"11,481","25,300",100
서초구,"68,989","6,366","476,892","7,212",325,"12,232","31,458",100
강남구,"70,939","2,603","608,555","4,785",223,"15,031","24,956",100
송파구,"69,216",370,"595,392","11,037",107,"14,333","28,671",100
강동구,"60,482","1,657","382,575","6,708",108,"10,269","22,313",100
